Competency,Question,What to look / probing questions
Adaptability,How have you handled a new boss who changed your job description?,
Adaptability,"Describe a time when you embraced a change being made, when you didn’t agree with the change.",
Adaptability,Tell me about the most difficult change you’ve had to implement in your career.,
Adaptability,What have you done when you’ve been given a project beneath your level of responsibility or experience?,
Adaptability,"How have you handled a new employee who knew less than you, but was now your boss?",
Ambiguity (Ability to Deal With),"Tell me about a time you had to work with conflicting, delayed, or ambiguous information. What did you do to make the most of the situation ?",
Ambiguity (Ability to Deal With),Tell me about a time when ambiguity was an obstacle to you getting a task or project completed. What was ambiguous? How long was it ambiguous?,
Ambiguity (Ability to Deal With),Give me an example of a time when there was a decision to be made and procedures were not in place. What was the outcome?,
Ambiguity (Ability to Deal With),We have all been asked on occasion to perform a task or accomplish a goal where the instructions we received were ambiguous. Tell me about a time when this happened to you and specifically what you did.,
Ambiguity (Ability to Deal With),Give an example of a time when you could not participate in a discussion or could not finish a task because you did not have enough information.,
Ambiguity (Ability to Deal With),Tell me about a time when you had to complete a project/task on a strict deadline with little or no direction.,
Analytical skills,Tell me about the most complex or difficult information you have had to analyze.,
Analytical skills,Tell me about the task or project that you were responsible for that best demonstrates your ability to analyze information.,
Analytical skills,"Sometimes even though we study the data from all sides, we make errors in interpretation of the data. Tell me about a time that happened to you.",
Analytical skills,Give me an example of a time where you caught a discrepancy or inconsistency in the available information that might have caused significant problems if you had missed it.,
Analytical skills,"Describe a time where your ""logical analysis"" was seen as illogical or flawed by someone else.",
Analytical skills,There are times where there is an incredible amount of data and information to be analyzed. Tell me about a time you faced this situation and exactly what you did to boil everything down to what was most important.,
Approachability,Tell me about a time when someone came to with a problem. What did you do? ,
Approachability,Give me an example of a difficult problem someone recently needed your help to solve.,
Approachability,Give me an example of a time an employee came to you and was anxious about something. How did you handle the situation? What was the result?,
Approachability,Describe a time when you went out of your way to put someone at ease.,
Approachability,"Tell me about a time you were able to establish a rapport with a person that others reffered to as ""difficult"".",
Approachability,Give me an example of a time that you were provided with information that enabled you to stop a potential problem from occuring.,
Approachability,Give me some examples of when someone remembered you after only a brief introduction. Why do you think they remembered you?,
Business acumen,Give me some examples of how people in other parts of the organization use your department or group as a resource.,
Business acumen,Give me an example of a decision that was made in your area that had an adverse impact on another area or department.,
Business acumen,Tell me about about a decision you made that had an unexpected positive impact on another area or department.,
Business acumen,"Give me an example of a time where your understanding of your organization enabled you to get something you needed that, had you lacked the understanding, you probably would not have gotten.",
Business acumen,Tell me about a time you recognized a problem before your boss or others in the organization did. What was the problem? What was the result?,
Business acumen,Describe a time when politics at work affected your job. How did you deal with it?,
Business acumen,Tell me how you went about learning how your current organization works.,
Career Ambition,Tell me about your career plan and what you have done so far to accomplish it.,
Career Ambition,"Describe for me how you have ""made your own luck"".",
Career Ambition,Give me an example of how you have taken control of your career.,
Career Ambition,Give me an example of a time you knew you had outgrown a position and it was a time to move on.,
Career Ambition,Tell me about your greatest career achievements. Why did you pick those examples?,
Career Ambition,"Tell me about a time you felt ""off track"" in your career progress.",
Career Ambition,Tell me about a time when you turned down a good job.,
Caring about direct reports,Give me an example of how you have celebrated an individual's or your teams success in the past. What was the occasion?,
Caring about direct reports,Tell me about a time when you were able to provide a direct report with recognition for the work she performed. What did you do?,
Caring about direct reports,Tell me about a time you missed an opportunity to provide a direct report with recognition for a significant accomplishment. Why did you miss it? What did you do when you realized you missed it?,
Caring about direct reports,Tell me what you have done on a consistent basis to ensure that your direct reports feel valued for their contributions?,
Caring about direct reports,Describe a time when one of your direct reports was under a great deal of pressure or stress. What did you do in the situation? What was the outcome?,
Caring about direct reports,Tell me about a time that you sensed that something was wrong with one of your direct reports and talked to him about it. What was the result?,
Caring about direct reports,Give me an example of a time that you realized that one of your direct reports was overburdened with work. What did you do? How did your action affect the situation?,
Caring about direct reports,Describe a work situation that required you to really listen and display compassion to a coworker/employee who was telling you about a personal/sensitive situation.,
Change management,Tell me about the most difficult change you’ve had to implement in your career. How did you manage the change?,
Change management,Give me an example of a time when you missed the early signs of employee resistance to an organizational change.,
Change management,Describe a time when you felt that a planned change was inappropriate. What did you do? What were the results?,
Change management,Tell me about a time when you had to adapt to an uncomfortable situation.,
Change management,Tell me about a time you led a change effort.,
Change management,Describe a time a change effort you were involved in was not as successfull as you or the company would have liked.,
Change management,Give me an example of a time you had to adjust quickly to changes over which you had no control. What was the impact of the change on you?,
Change management,Give me an example of a time when you helped a direct report or other person in the organization accept change and make the necessary adjustments to move forward. What were the change/transition skills that you used?,
Change management,"Describe a situation where you, at first, resisted a change at work and later accepted it. What, specifically, changed your mind?",
Collaboration,"Describe a situation when you offered assistance to someone even though it was outside of your job description.
Describe a situation in which you helped a team member out.",
Collaboration,Tell me about a time when you saw someone else needed help in a previous job. How did you help?,
Comfort around higher management,Describe a time you were able to provide a higher level management person with recognition for the work she performed.,
Comfort around higher management,Tell me about a presentation you made to upper management. What was it about? How did you feel about making the presentation? How did it go?,
Comfort around higher management,"Give me an example of a time where, by speaking management's language, you were able to convince them to do something that they migh not have done otherwise.",
Comfort around higher management,"Give me an example of a time where, despite being tense or nervous, you were able to make a successful presentation to a higher level management group.",
Comfort around higher management,"Tell me about a time where, had you taken time to think about how a higher level management person or group liked to receive information, you might have been more successful. If you had it to do over again, what would you do differently?",
Communication (Oral),"Tell me about the most difficult or complex idea, situation, or process you have ever had to explain to someone. How did you explain it? Were you successful?",
Communication (Oral),Give me an example of a time you had to be excellent at multidirectional communication in order to be successful at something.,
Communication (Oral),Describe a time when you had difficulty communicating your thoughts clearly to another person or group. What message were you trying to convey? Where did the difficulty in communicating lie? How did you end up getting your point accross?,
Communication (Oral),Describe a time you used verbal communication to get accross a point that was important to you. Were you successful? How do you know you were successful/unsuccessful?,
Communication (Oral),Give me an example of a time when you were able to successfully communicate with another person even when that individual personnaly may not have liked you.,
Communication (Oral),Give me an example of a time when you were able to successfully communicate with another person you personnaly did not like.,
Communication (Oral),Describe a time that you were successfully primarily because of your ability to communicate orally.,
Communication (Oral),Describe a situation where you had to collect information by asking many people a lot of questions.,
Communication (Oral),Tell me about a sensitive or volatile situation that required very careful communication.,
Communication (Oral),Tell me about a job experience in which you had to speak up in order to be sure that other people knew what you thought or felt.,
Communication (Oral),Give me an example of a time when you were able to successfully communicate with another person even when you felt the individual did not value your perspective.,
Communication (Oral),Describe a situation you observed or were a part of where communication was handled particularly well by someone else. What did they do? Why do you think it was effective?,
Communication (Oral),Tell me about a time when someone misunderstood somthing you said. How did you determine that you had been misunderstood? How did you make yourself clear? What did you learn from this situation that you have used to improve your communication skills?,
Communication (Oral),Describe a time you failed to communicate important information to your boss.,
Communication (Oral),Tell me about a time you failed to communicate effectively with your direct reports/client/customer. How did you find out you had failed to communicate effectively? What was the implication of this failure? What did you do about the situation? What did you learn from this?,
Communication (Oral),Tell me about a time when your dislike for an individual had a negative impact on your ability to communicate effectively with this person.,
Communication skills,Tell me about a situation when you dealt with an angry customer successfully?  Not as successfully?,
Communication skills,When recently did you have to build a relationship with a new customer? How did you break the ice? Develop deeper ties?,
Communication skills,Tell me about a time when you had to deal with a challenging customer.,
Communication skills / Adaptability / Influencing skills,Describe a time when your manager or other superior wanted to take a path and you disagreed with it. What did you do?,"What was the situation and the environment for giving feedback?
 => Confidence, Effective Communication Skills"
Communication skills,Tell me about a time when someone else neglected or failed to deliver on their work commitments - and it had a negative impact on your productivity. How did you react? What was the outcome?,"Did anything change in the relationship with that person ? 
How did you make sure that it would not happen again ? "
Communication skills,Tell me about the most difficult person you've had to work with in the past. How did you manage the situation?,"It might not have been a successful outcome, important is what steps they took and how much effort they put forward."
Communication skills,Describe a time when you resolved a conflict.,
Communication skills,Describe a time when you were able to verbally calm a situation down.,
Communication skills,Tell me about a time when you had to get someone else to see things your way.,
Communication skills,How have you convinced someone to do something they didn’t want to do?,
Communication skills,Describe a time when you delivered tough feedback to a colleague.,
Communication skills,How do you deliver project results to your manager?,
Communication (Written),Give me an example of an important report you have written.,
Communication (Written),Give me an example of the kind of writing you do best.,
Communication (Written),Tell me about a time when someone misunderstood something you wrote. How did you determine that had been misunderstood? How did you make yourself clear?,
Communication (Written),Tell me about a time in which you had to use your written communication skills in order to get an important point across.,
Communication (Written),Describe the most significant or creative written presentation you had to complete.,
Communication (Written),Tell me about a time when you used your written communication skills to convey an important message.,
Communication (Written),Describe a time you wrote a report that was well received by others.,
Communication (Written),Tell me about a time where you didn't document something that you wish you would have.,
Communication (Written),"Give me an example of a time you used written communication to share information that, in hindsight, you realize should have been shared verbally.",
Compassion,Give me an example of a time you were particularly perceptive regarding a person's or group's feelings and needs.,
Compassion,Describe a time when an employee came to you with a personal pain he was experiencing.,
Compassion,Tell me about a time when you demonstrated to a direct report that you were concerned about a work or nonwork problem he was experiencing.,
Compassion,Describe a work situation that required you to really listen and display compassion for another person who was telling you about a personal or sensitive situation.,
Compassion,Give me an example of a time you had to put a critical task or project you were working on aside to attend to the needs of a direct report.,
Compassion,Tell me about a time when your failure to show compassion to someone at work was a costly oversight on your part.,
Compassion,Tell me about a time when you needed to give feedback to an emotional or sensitive employee.,
Compassion,Give me an example of particularly difficult or awkward conversation you needed to have with someone.,
Composure,Tell me about a time you took action based on your own convictions rather than giving in to the contrary pressures of others' opinions.,
Composure,Describe the worst on-the-job crisis you had to solve. How did you manage to maintain your composure?,
Composure,"Give me a recent example of a situation you have faced when the ""pressure was on"". What happened? How did you handle it?",
Composure,Give me a recent example of a time you worked particularly well under a great deal of pressure. How did you handle the situation?,
Composure,Tell me about a time you felt your team was under too much pressure. What did you do about it?,
Composure,Describe a time where you were faced with problems or stressful situations that tested your coping skills. What did you do?,
Composure,Give me an example of a time you had to think quickly on your feet to extricate yourself from a difficult situation.,
Composure,Tell me about a time you lost your temper/cool/composure.,
Composure,Tell me about a time your were knocked off balance on a project you were working on due to unexpected information or an unexpected event.,
Composure,Think about a time when you felt overwhelmed or stressed out. How did you handle it?,
Composure,Tell me about a time when your work or an idea of yours was criticized.,
Conflict Management,Describe a time when you facilitated a creative solution to a problem between employees.,
Conflict Management,Tell me about a recent success you had with an especially difficult employee or coworker.,
Conflict Management,Describe a time when you took personal accountability for a conflict and initiated contact with the individual(s) involved to explain your actions.,
Conflict Management,Give me an example of a time on the job when you disagreed with your boss or a higher level manager. What were your options for setting the conflict? Why did you choose the option you did? Were you able to get your point across? How successful were you in settling the conflict?,
Conflict Management,Others' work ethics are sometimes in conflict with our own. Describe a time this happened to you. Were you able to work it out? How (or why not)? What did you learn from this experience? How have you appled that learning?,
Conflict Management,Tell me about a disagreement that you found difficult to handle. Why was it difficult? What did you do? How did it work out?,
Conflict Management,"Thinking of the most difficult person you have had to deal with, describe an interaction that illustrates that difficulty. Tell me about the last time you dealt with him. How did you handle the situation?",
Conflict Management,Tell me about a time when you and your previous supervisor disagreed but you still found a way to get your point across.,
Conflict Management,"There are always times when we disagree with others. Some people are congenial when we disagree with them, but that's not true of others. Tell me about a time when you had the courage to express your opposing opinion to someone who generally does not take well to opposing viewpoints. What relationship was this person to you? Why did you decide to speak up?",
Conflict Management,Describe a time when you had to resolve a conflict between two employees or two people on a team.,
Conflict Management,Tell me about a time you did not properly handle a disagreement with a coworker.,
Conflict Management,Tell me about a time when you felt that a coworker or manager made you look bad.,
Conflict Management,Think about a time when you were involved in a group project or activity where the others involved well difficult to get along with. What did you do about it?,
Conflict Management,Tell me about a time you were faced with conflicting priorities. How did you resolve the conflict? Was it effective? Why or why not?,
Confronting Direct Report Problems,Some people are more difficult to work with than others. Give me an example of how you have worked with the most difficult direct report and how that differed from how you worked with the most accommodating direct report.,
Confronting Direct Report Problems,Tell me about a confrontation you've had with a direct report.,
Confronting Direct Report Problems,Tell me about a time one of your direct reports was not meeting expectations.,
Confronting Direct Report Problems,Describe for me a time you let a problem with an employee get out of hand.,
Confronting Direct Report Problems,Tell me about a time you needed to terminate an employee for performance problems. How long between first determining there was a problem and termination?,
Confronting Direct Report Problems,Give me an example of a time when you had to talk to a direct report about her performance and were able to turn that employee around.,
Continuous Improvement,Tell me about a suggestion you made to improve the way job processes/operations worked.,
Continuous Improvement,Tell me about one of your workplace improvements that another department now uses.,
Continuous Improvement,Give me an example when you initiated a change in a process or operations.,
Continuous Improvement,"In your last or current job, what problems did you identify that had previously been overlooked? Were changes made? Who supported the changes as a result of your ideas?",
Continuous Improvement,"Tell me about something new or different that you did in your department that improved customer service, productivity, quality, teamwork, or performance.",
Continuous Improvement,Tell me about a time you found and took advantage of an opportunity to make an improvement in your position or department/team/group.,
Continuous Improvement,Tell me about a time when you had to sacrifice quality to meet the deadline. How did you handle it?,
Continuous Improvement,In some aspects of work it is important to be error free. Describe a situation where you tried to prevent errors.,
Continuous Improvement,Describe a time you caught an error arrow that someone else made that could have affected the outcome of the project (or affected a  customer).,
Continuous Improvement,Tell me about a suggestion you made to improve the processes or operations in your position or within your team.,
Continuous Improvement,"Give me an example of a time you improved the use of or return on a resource, where the positive impact was broader than just your team/department.",
Cooperation,"Gaining the cooperation of others can be difficult. Give a specific example of when you had to do that, and what challenges you faced. What was the outcome? What was the long-term impact on your ability to work with this person?",
Cooperation,"Describe a time where, had you not been able to get another person's or group's cooperation, you probably would not have been successful.",
Cooperation,Tell me about a time that you cooperated with someone when you really would rather have not cooperated.,
Cooperation,"At times, we must all deal with difficult people. This can be a challenge when it is someone with whom we need to develop a cooperative relationship. Tell me about a time you were successful in developing a cooperative relationship with a difficult person at work.",
Cooperation,What is the toughest group/team/department from which you have had to get cooperation? What were the obstacles? Why was it tough group? What were the reactions of the group members?,
Courage,Describe a time you had to make a decision that you knew will be unpopular.,
Courage,"Summarize a situation where you took the initiative to get others going on an important issue, and played a leading role to achieve the results needed.",
Courage,Tell me about a situation when you stood up for a decision you made even though it was unpopular.,
Courage,Describe a leadership situation you would handle differently if you could do it over again.,
Courage,Tell me about a time you refrained from saying something that you felt needed to be said. Do you regret your decision? Why or why not?,
Courage,Give me an example of the time you needed to give constructive feedback to one of your peers or someone higher in the organization about his behavior.,
Courage,Tell me about a time you felt you needed to be assertive in order to get what you felt you or your team deserved or needed.,
Creativity / Innovation,A lot of times we use tried-and-true solutions to solve problems and it works. Tell me about a time when the tried-and-true solution did not work. Were are you able to solve the problem? How? In what way was that solution different from the tried-and-true solution?,
Creativity / Innovation,Describe a time when you came up with a creative solution/idea/project/report to a work problem you had been dealing with for some time.,
Creativity / Innovation,Tell me about a situation when you have had to come up with several new ideas in a hurry. Were they accepted? Were they successful?,
Creativity / Innovation,Describe a creative/innovative idea that you produced that led to a significant contribution to the success of an activity or project.,
Creativity / Innovation,Describe the most creative work project you've ever accomplished.,
Creativity / Innovation,Tell me about time you were especially creative in solving a lingering problem.,
Creativity / Innovation,Describe the most significant plan or programme that you ever developed or implemented.,
Creativity / Innovation,Tell me about a time when you created a new process or program that was considered risky.,
Creativity / Innovation,Describe the most creative thing you have done in the past job.,
Creativity / Innovation,Creativity often means stepping back from standard ways of thinking. Give me an example of a time when you were able to break out of a structured mindset and explore new or different concepts and ideas.,
Creativity / Innovation,Give me an example of how you have been creative in completing your responsibilities.,
Creativity / Innovation,"Tell me about the last time you thought ""outside the box"".",Make sure they explain both why and how they did it.
Creativity / Innovation,Give me an example of when someone brought you a new idea that was unique or unusual. What did you do?,
Creativity / Innovation,Describe the most creative oral presentation you have ever made.,
Creativity / Innovation,Tell me about a problem that you solved in a unique or unusual way. Were you happy with the outcome?,
Curiosity,How Do You Handle Different Perspectives?,
Curiosity,What is Your Approach When Facing a Challenging Obstacle?,
Curiosity,Tell Us a Time Where You Took Ownership Of Your Work?,
Curiosity,Are you self-taught in any skills?,
Customer Focus,Tell me about a time when you did your best to resolve a customer or client concerned and the individual was still not satisfied.,
Customer Focus,Give me an example of a time you effectively used your people skills to solve the customer problem.,
Customer Focus,Tell me about a time when un encountered a customer who was complaining of poor service. What did you do?,
Customer Focus,"At times, we are all required to deal with difficult people. And even more demanding factor is to be of service to a difficult person. Describe a time you were successful dealing with difficult customer.",
Customer Focus,"Tell me about a time you wished you would have handled an unhappy, angry, or irate customer a different way. ",
Customer Focus,Give me an example of something you have done to either develop or strengthen customer relationships.,
Customer Focus,"Describe for me something you did to established ""customer first"" mentality in your department or team.",
Customer Focus,Tell me about a customer whose needs you spent considerable time learning about. What was the result of the time investment?,
Customer Focus,Tell me about a customer who has stuck with you over the years. What did you do to make this happen?,
Customer Focus,Describe the process or method you used in a particular situation to develop an understanding of your internal/external customer's viewpoints and needs.,
Customer Focus,Describe a time you exceeded the expectations of a client/customer/stakeholder.,
Customer Focus,Give me an example of a time when you acted as an advocate for a client or customer in the face of resistance from a person or the organisation as a whole.,
Customer Focus,Describe a time you were not able to deliver a product or service to your customer on time.,
Customer Focus,Everyone has said something to a customer that they wished they hadn't. Tell me about a time you did this. What did you do to correct the situation?,
Customer Focus,Tell me about a situation in which a customer was so difficult that you just gave up trying (or were unable) to satisfy her.,
Customer Focus,Sooner or later we all have to deal with a customer who makes unreasonable demands. Think about a time when you had to handle unreasonable requests.,
Customer Focus,Give me an example of a situation you handled where even your enemies would have to say that you demonstrated outstanding customer service.,
Customer Focus,"Give me an example of when you initiated a change in a process, procedure, or operations in response to customer feedback.",
Customer Service,Describe a time when you resolved a problem for an angry customer.,
Customer Service,Tell me about a time when you had to deliver bad news to a customer.,
Customer Service,"Describe a time when you went out of your way to satisfy a customer, and the outcome.",
Customer Service,Tell me how you prioritize customer requests when they’re all demanding to be treated as your top priority.,
Customer Service,How have you handled a customer who was blatantly lying about their experience?,
Customer Service,"Recall a time when a customer complained about you, and describe the outcome.",
Decision making,Tell me about the toughest (most complex) decision you have had to make.,"How did you make it? What did you have to think about? What was the outcome?Watch for clarity of the 'problem statement' and systems thinking.Tolerance with being wrong, ability to take intelligent risks? 
 => Prioritization, intellectual horsepower, Problem Solving, Data Driven, Analytical"
Decision making,Give me two examples of good decisions you have made in the last six months?  What were the alternatives? Why were they good decisions?,
Decision making,Describe an occasion when you included others in your decision-making? To what extent did you incorporate their input?,
Decision making,Tell me about one of the most difficult (of one of the best) decisions you made in the last year/6 months. What made it so difficult? What process did you use to make the decision?,
Decision making,"Give me an example of a time you had to make a decision where you needed to carefully considered a great deal of conflicting, as well as supporting, information, opinions, and data.",
Decision making,Give me an example of a difficult decision that you made where there were no supporting facts to guide you either way,
Decision making,Give me an example of a decision that you made rapidly and one you took more time to make.,
Decision making,Describe a time you had to make a quick decision with incomplete information.,
Decision making,Tell me about the worst on-the-job decision you've ever made.,
Decision making,We all make decisions that turn out to be mistakes. Describe a decision you made at work that you wish you could do over. What would you do differently if you could do it over again?,
Decision making,"Give me an example of a time you use a contractor or consultant for something that, in hinsight, should have been done internally.",
Decision making,Give me an example of a time you had to make an important business decision that still affect you today.,
Decision making,Tell me about one of the most important decisions you have made when the information for the decision was based on the questions you asked.,
Decision making,Tell me about a time when you took a public stance on an issue and then had to change your position.,
Decision making,Describe a time when you had to make a decision that you knew would be unpopular.,
Decision making,Give me an example of a time when you had to make a decision and policies/procedures were not in place.,
Decision making,"Tell me about a situation that, if you had not acted immediately, could have turned into major problem.",
Decision making,"Give me an example of a situation when, by recognizing and considering the financial implications of a decision, you decided to do something different from what you originally planned.",
Decision making,Tell me about a time you had to defend a decision you made.,
Delegation,Give me an example of when you assigned an employee to make a decision or carry out a major task or responsibility.,
Delegation,Tell me about a task or project that you successfully delegated. What happened? What did you learn? How did you apply what you learnt to other situations?,
Delegation,Tell me about the kinds of work assignments you give to your direct reports. What assignements do you not give to your direct reports?,
Delegation,"Give me an example of a time that you should have delegated a task/project, but chose not to.",
Delegation,Describe a time you had to delegate part of a large project or assignment to some of your direct reports. How did you decide what tasks to delegate to which people? What problems occurred?,
Delegation,Give me an example of a major project or task you delegated to one of your employees. How did you monitor the project or task?,
Delegation,Give me an example of a time you did a poor job of delegating task or project.,
Detail Orientation,Give me an example of a time when your attention to detail helped you avoid making a mistake.,
Detail Orientation,Tell me about a time when you caught an error that others had missed.,
Detail Orientation,Describe a situation where you didn't pay as close attention to the details as you should have.,
Detail Orientation,Tell me about a time when you paid too much attention to the details and not enough to the big picture.,
Developing Direct Reports,Tell me about a time you had to confront and handle the negative behavior of someone who reports to you. What was the situation? What did you do? What was the outcome?,
Developing Direct Reports,Tell me about a time you had to take disciplinary actions with one of your direct reports. What led to that action? How did you handle it? What was the outcome?,
Developing Direct Reports,Tell me about a specific developmental plan that you created and carried out with one or more of your direct reports who was not performing up to expectations. What were the components of the developmental plan? What was the time frame? What was the outcome?,
Developing Direct Reports,Tell me about a time you had to provide constructive feedback to an employee who was not meeting performance expectations. Why was the employee not meeting expectations?,Listen for whether the person accepts responsibility for developing employees or places the blame solely on the employees.
Developing Direct Reports,Describe for me the process and steps you went through to develop one of your most difficult employees. Was it successful? Why or why not?,
Developing Direct Reports,Tell me about a time when you had to tell a staff member that you were dissatisfied with his work.,
Developing Direct Reports,Tell me about a time you coached or mentored someone to a higher level of performance or higher level position.,
Developing Direct Reports,"Tell me about a time you failed to develop someone to adequately prepare her for task, project, or responsibility.",
Developing Direct Reports,Describe what steps you have taken in your current on previous positions to define and communicate performance expectations to your employees.,
Developing Direct Reports,"Many of us have had to deal with a situation where an employee was a good performer for a period of time, I'm but was performance has started slipping. Tell me about a time you had to deal with this kind of situation. ",
Developing Direct Reports,"Give me an example of a time you helped one of your direct reports develop or improve his (communication, negotiation, sales, etc) skills. How did you determine that this was developmental need?",
Direction to Others,Tell me how you know what your direct reports are doing.,
Direction to Others,Describe your procedures for keeping track on what is going on in your department.,
Direction to Others,Tell me about the process you used to set goals for your department and your direct reports last year.,
Direction to Others,Give me an example of a time when you failed to set clear directions for one of your direct reports or your team.,
Direction to Others,Give me an example of a stretch goal you set for direct report. Why was this a stretch goal? Was the direct report able to accomplish the goal? What did you do to contribute to her success?,
Direction to Others,Managers quite often delegate major projects to their direct reports. Tell me about a time that you did that and how you kept informed about the status of the project.,
Diversity,Tell me about a time you had to adapt to a wide variety of people by accepting or understanding their perspectives.,
Diversity,Tell me about time you adapted your style in order to work effectively with those who were different from you.,
Diversity,Give me an example of a time when a person's cultural background affected your approach to a work situation.,
Diversity,"Tell me about the most difficult challenge you have faced in working cooperatively with someone who did not share your ideas, values, or beliefs. What was the impact on your ability to get things done? What was the impact on the other person's ability to get things done?",
Diversity,"Give me an example of a time when your values and beliefs impacted your relationship with a peer, coworker, supervisor, or customer.",
Diversity,"Tell me the steps you have taken to create a work environment where differences are valued, encouraged, and supported.",
Diversity,Describe a time you were able to make your voice heard in a predominantly opposite-sex-dominated environment.,
Diversity,Tell me about a time you took action to make someone feel comfortable in an environment that was obviously uncomfortable with his or her presence.,
Diversity,Tell me about a time you avoided forming an opinion of someone based on his outward appearance.,
Diversity,"Describe a time when, in a work environment, you made an intentional effort to get to know someone from another culture.",
Diversity,Describe a time you had to separate the person from the issue when working to resolve differences.,
Diversity,Describe a situation when you had to give feedback to someone who was not accepting of others.,
Diversity,"Describe the way you handled a specific problem involving others with different values, ideas, and beliefs in your current/previous job.",
Emotional Intelligence,Give me an example of a time that ability to notice another person's feelings or concerns enabled you to proactively address an issue.,
Emotional Intelligence,Tell me about a time that your ability to appropriately use empathy turned a situation around.,
Emotional Intelligence,"Describe a situation where, because you were aware of the nonverbal dynamics of a person or group, you adapted your communication and turned the situation around.",
Emotional Intelligence,Tell me about a time you feel you mismanaged an emotionally charged situation.,
Emotional Intelligence,"Give me an example of a time when, because you failed to detect a person's feelings are concerns, you-at least initially- mishandled the situation.",
Emotional Intelligence,Give me an example of a time where your understanding of your own emotions- and of the triggers that set off emotional responses in you- saved you from doing or saying something in a business setting that you might have regretted.,
Emotional Intelligence,Describe for me a time you were able to transform your anxiety or negative emotions into positive emotions and actions.,
Emotional Intelligence,Give me an example of a time where-even thought it was difficult- you were able to control and filter your emotions in a constructive way.,
Empowerment,"Describe for me a time when you provided your direct reports with the freedom to determine their work process, within the parameters of the task/project, even though you would have preferred that they do it another way. ",
Empowerment,Tell me about a time you encouraged a direct report to make decisions within is area of responsibility that worked out better than you expected.,
Empowerment,Give me an example of the time you encouraged a direct report to make a decision within her area of responsibility that did not work out well. What happened? What did you do? What was the final end result?,
Empowerment,Tell me about a time you encouraged your direct reports to be actively involved in solving problems related to their position rather than coming to you for the answers.,
Empowerment,Give me a specific example of how you have empowered your staff to make independent decisions.,
Empowerment,"Describe a time when, even though it was difficult, you kept quiet and let a team resolve problems on its own rather than prescribing a solution for them.",
Fairness to Direct Reports,Describe a time when you failed to treat all your direct reports equally.,
Fairness to Direct Reports,Tell me about a time you had to have a candid discussion with one or your direct reports regarding a work-related issue.,
Fairness to Direct Reports,Give me an example of a time you had to handle a tough employee problem that challenged your ability to remain fair to all employees.,
Fairness to Direct Reports,Tell me about a time you gave one employee preferential treatment. Why did you do it? What was the impact?,
Fairness to Direct Reports,Tell me about a time when you treated all your direct reports equally even though you were tempted to show preferential treatment to one or some of them.,
Flexibility,Tell me about a time when you had to stop working on a project/idea/assignment and start working on a completely different one. What did you do? How did that work out?,
Flexibility,Give me an example of a time your tightly scheduled day was interrupted and thrown way off schedule.,
Flexibility,Describe a time when you changed your behavior to fit a specific situation.,"Make sure you you find out, at minimum, what the situation was, what the specific behavior was prior to and after the change, why the behavior change was made, and whether the behaviour change was appropriate in retrospect."
Flexibility,Tell me about a time when you changed or modified your priorities to meet another person's or group's expectations.,
Flexibility,Tell me about a time when you had to change your point of view or your plans to take in account new information or a change in priorities.,
Flexibility,Describe a time when you were instructed to modify or change your actions to respond to the needs of another person. Do you feel that the demand was fair? Why or why not?,
Flexibility,Tell me about a time you uncovered new information that affected a decision that you had already made.,
